BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_TotTaxSc,Med_PlecTaxSc,Med_ChirPctSc,Med_NonInsPctSc,Med_ClingPctSc,Med_IntolPctSc,Med_TolerTaxSc,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
22-AMM,44.27163,-71.63163,2015,64.95355691,64.5,Above_Threshold,Non-Ref,53.12542909,66.33323794,64.41717791,99.44227552,66.56141042,15.61042249,89.18494498,0.098,0.006655,0.015,0.084,,0.004,,,
22-AMM,44.27163,-71.63163,2016,65.98359123,64.5,Above_Threshold,Non-Ref,58.4334238,39.39257264,74.67594815,94.31108977,70.74281991,45.48428143,78.84500288,0.11,0.00838,0.038,0.1,,0.004,,,
22-AMM,44.27163,-71.63163,2017,65.58235411,64.5,Above_Threshold,Non-Ref,54.18162616,24.98285632,83.76254911,98.64687909,85.26793418,32.63642052,79.59821341,0.0915,0.006455,0.08,0.08,,0.002,,,
22-AMM,44.27163,-71.63163,2018,71.31282711,64.5,Above_Threshold,Non-Ref,53.6703138,38.33050544,79.08366534,99.93359894,81.14125598,47.03045025,100,0.11,0.00557,0.08,0.11,,0.002,,,
22-CTC,43.025956,-71.928467,2010,60.47738522,63.73,Below_Threshold,Non-Ref,81.55401946,42.4808836,88.62385321,97.24770642,49.071901,26.76343295,37.59989989,0.005,0.023,0.33,0.007,,0.005,,,
23-CCH,43.375948,-71.041305,2011,77.71032637,59.77,Above_Threshold,Non-Ref,108.3128565,90.39865172,85.37344398,94.91701245,70.83768302,35.03252436,67.41296905,0.12,0.02,0.3,0.12,,0.005,,,
25-PMI,44.046897,-71.685492,2015,67.28571683,68.09,Below_Threshold,Non-Ref,61.3330683,67.01417768,69.25287356,99.13793103,69.56088552,25.04770392,79.6533778,0.18,5.00E-04,0.015,0.21,,0.004,0.2,,
31-NMB,43.6297499,-71.22866066,2013,66.54519921,65.44,Above_Threshold,Non-Ref,93.02325581,45.45454545,58.77437326,98.05013928,42.69553081,27.81854985,100,,,,0.05,,,,,
31-NMB,43.6297499,-71.22866066,2016,74.79283634,65.44,Above_Threshold,Non-Ref,83.72093023,90.85816601,60.9561753,99.20318725,41.69369035,47.11770526,100,,,,0.05,,,,,0.002
31-NMB,43.6297499,-71.22866066,2017,76.14019308,65.44,Above_Threshold,Non-Ref,80.38087763,90.18050094,70.8994709,99.47089947,57.04889426,51.10235071,83.89835766,,,,0.183,,,,,
